"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,484,266",
"",營利事業捐贈收入,"500,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:4122000.00
"",收入合計,"4,984,266","金錢收入總額:4984266.00 非金錢收入總額:"
"支出",人事費用支出,"1,608,400",
"",宣傳支出,"1,092,536",
"",租用宣傳車輛支出,"76,730",
"",租用競選辦事處支出,"138,911",
"",集會支出,0,
"",交通旅運支出,"198,650",
"",雜支支出,"1,657,333",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"423,411",
"",支出合計,"5,195,971",超過三萬元之支出合計:1175230.00
"餘絀",收支結存金額,"-211,705",
"金錢以外之賸餘財產",0,,
