"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,060,000",
"",營利事業捐贈收入,"254,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"1,700",
"",其他收入,0,超過三萬元之收入合計:1060000.00
"",收入合計,"1,315,700","金錢收入總額:1306700.00 非金錢收入總額:9000.00"
"支出",人事費用支出,"78,740",
"",宣傳支出,"948,840",
"",租用宣傳車輛支出,"104,300",
"",租用競選辦事處支出,"25,980",
"",集會支出,"59,600",
"",交通旅運支出,"30,130",
"",雜支支出,"103,455",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"1,351,045",超過三萬元之支出合計:977800.00
"餘絀",收支結存金額,"-35,345",
"金錢以外之賸餘財產",0,,
