"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"487,000",
"",營利事業捐贈收入,"411,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:710000.00
"",收入合計,"898,000","金錢收入總額:868000.00 非金錢收入總額:30000.00"
"支出",人事費用支出,"635,080",
"",宣傳支出,"1,804,991",
"",租用宣傳車輛支出,"160,500",
"",租用競選辦事處支出,"30,000",
"",集會支出,"477,400",
"",交通旅運支出,"181,341",
"",雜支支出,"777,168",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"80,500",
"",支出合計,"4,146,980",超過三萬元之支出合計:2318709.00
"餘絀",收支結存金額,"-3,248,980",
"金錢以外之賸餘財產",0,,
