"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"242,240",
"",營利事業捐贈收入,"123,200",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,100,
"",其他收入,0,超過三萬元之收入合計:150000.00
"",收入合計,"365,540","金錢收入總額:354000.00 非金錢收入總額:11540.00"
"支出",人事費用支出,"1,448,126",
"",宣傳支出,"320,047",
"",租用宣傳車輛支出,"59,672",
"",租用競選辦事處支出,230,
"",集會支出,"141,945",
"",交通旅運支出,"14,830",
"",雜支支出,"210,972",
"",返還捐贈支出,"10,000",
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"2,205,822",超過三萬元之支出合計:169032.00
"餘絀",收支結存金額,"-1,840,282",
"金錢以外之賸餘財產",0,,
