"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,499,600",
"",營利事業捐贈收入,"20,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"10,000",
"",其他收入,44,"超過三萬元之收入合計:1,020,000"
"",收入合計,"1,529,644","金錢收入總額:1,529,644非金錢收入總額:0"
"支出",人事費用支出,"1,214,602",
"",宣傳支出,"709,184",
"",租用宣傳車輛支出,"48,852",
"",租用競選辦事處支出,"129,723",
"",集會支出,"179,933",
"",交通旅運支出,"28,093",
"",雜支支出,"35,385",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"111,258",
"",支出合計,"2,457,030","超過三萬元之支出合計:1,349,957"
"餘絀",收支結存金額,"-927,386",
"金錢以外之賸餘財產",0,,
