"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,321,520",
"",營利事業捐贈收入,"350,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,87,超過三萬元之收入合計:2254000.00
"",收入合計,"2,671,607","金錢收入總額:2317087.00 非金錢收入總額:354520.00"
"支出",人事費用支出,"155,000",
"",宣傳支出,"2,041,275",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"141,020",
"",交通旅運支出,"116,338",
"",雜支支出,"384,162",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:87.00
"",公共關係費用支出,"81,600",
"",支出合計,"2,919,395",超過三萬元之支出合計:2066807.00
"餘絀",收支結存金額,"-247,788",
"金錢以外之賸餘財產",0,,
