"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,313,000",
"",營利事業捐贈收入,"486,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"34,000",
"",其他收入,0,超過三萬元之收入合計:966000.00
"",收入合計,"1,833,000","金錢收入總額:1833000.00 非金錢收入總額:"
"支出",人事費用支出,"352,050",
"",宣傳支出,"2,505,776",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"5,040",
"",集會支出,"30,660",
"",交通旅運支出,"73,938",
"",雜支支出,"276,052",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"15,000",
"",支出合計,"3,258,516",超過三萬元之支出合計:2497806.00
"餘絀",收支結存金額,"-1,425,516",
"金錢以外之賸餘財產",0,,
