"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,793,300",
"",營利事業捐贈收入,"922,600",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,78,超過三萬元之收入合計:1788000.00
"",收入合計,"2,715,978","金錢收入總額:2713678.00 非金錢收入總額:2300.00"
"支出",人事費用支出,"1,571,980",
"",宣傳支出,"786,899",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"253,739",
"",交通旅運支出,"79,272",
"",雜支支出,"243,993",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:178.00
"",公共關係費用支出,"154,129",
"",支出合計,"3,090,012",超過三萬元之支出合計:615501.00
"餘絀",收支結存金額,"-374,034",
"金錢以外之賸餘財產",0,,
