"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,347,599",
"",營利事業捐贈收入,"2,033,520",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"10,000",
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:3650000.00
"",收入合計,"4,391,119","金錢收入總額:4279599.00 非金錢收入總額:111520.00"
"支出",人事費用支出,"868,500",
"",宣傳支出,"2,361,851",
"",租用宣傳車輛支出,"136,800",
"",租用競選辦事處支出,0,
"",集會支出,"70,300",
"",交通旅運支出,"49,969",
"",雜支支出,"985,506",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"4,472,926",超過三萬元之支出合計:3761346.00
"餘絀",收支結存金額,"-81,807",
"金錢以外之賸餘財產",0,,
