"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,988,800",
"",營利事業捐贈收入,"1,801,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"10,000",
"",匿名捐贈收入,"50,000",
"",其他收入,"1,105",超過三萬元之收入合計:3476000.00
"",收入合計,"4,850,905","金錢收入總額:4850905.00 非金錢收入總額:"
"支出",人事費用支出,"1,639,868",
"",宣傳支出,"1,139,084",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"199,100",
"",集會支出,"812,717",
"",交通旅運支出,"460,515",
"",雜支支出,"736,044",
"",返還捐贈支出,"60,000",
"",繳庫支出,0,專戶存款結存金額:2348115.00
"",公共關係費用支出,0,
"",支出合計,"5,047,328",超過三萬元之支出合計:3287468.00
"餘絀",收支結存金額,"-196,423",
"金錢以外之賸餘財產",0,,
