"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"615,400",
"",營利事業捐贈收入,"750,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"26,776",
"",其他收入,0,超過三萬元之收入合計:903000.00
"",收入合計,"1,392,176","金錢收入總額:1392176.00 非金錢收入總額:"
"支出",人事費用支出,"146,000",
"",宣傳支出,"855,124",
"",租用宣傳車輛支出,"20,000",
"",租用競選辦事處支出,0,
"",集會支出,"65,000",
"",交通旅運支出,"133,885",
"",雜支支出,"284,185",
"",返還捐贈支出,0,
"",繳庫支出,"1,000",專戶存款結存金額:0.00
"",公共關係費用支出,"20,300",
"",支出合計,"1,525,494",超過三萬元之支出合計:639006.00
"餘絀",收支結存金額,"-133,318",
"金錢以外之賸餘財產",0,,
