"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,715,100",
"",營利事業捐贈收入,"412,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:1880700.00
"",收入合計,"3,127,100","金錢收入總額:2062000.00 非金錢收入總額:1065100.00"
"支出",人事費用支出,"2,291,600",
"",宣傳支出,"5,092,930",
"",租用宣傳車輛支出,"37,410",
"",租用競選辦事處支出,"405,646",
"",集會支出,"365,299",
"",交通旅運支出,0,
"",雜支支出,"700,992",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"518,242",
"",支出合計,"9,412,119",超過三萬元之支出合計:6865501.00
"餘絀",收支結存金額,"-6,285,019",
"金錢以外之賸餘財產",0,,
