"收  支  科  目",額 或 價 額,備       註,,
"前期賸餘","5,948,522","收支結存內金錢餘額:5,485,843錢以外之財產:462,679",,
"本期收入",其他收入,"7,861","利息收入:7,861賣金錢以外之財產現金收入:0",
"本期支出",當選後與其公務有關之費用支出,"2,427,160","支出合計2,477,160","超過三萬元之支出總額:2,098,000金錢支出總額:2,477,160非金錢支出總額:0結算日專戶存款餘額:3,184,398"
"",捐贈政治團體或所屬政黨支出,0,,
"",捐贈教育、文化、公益、慈善機構或團體支出,"50,000",,
"",參加公職人員選舉使用支出,0,,
"",返還捐贈支出,0,,
"",繳庫支出,0,,
"調整",加,購買金錢以外之財產,0,
"減",變賣前期金錢以外之財產,0,,
"減",變賣本期金錢以外財產,0,,
"本期餘額","3,479,223","收支結存內金錢餘額: 3,016,544金錢以外之財產: 462,679",,
