"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,722,220",
"",營利事業捐贈收入,"1,880,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"7,200",
"",其他收入,0,超過三萬元之收入合計:4190000.00
"",收入合計,"5,609,420","金錢收入總額:5609420.00 非金錢收入總額:"
"支出",人事費用支出,"637,420",
"",宣傳支出,"4,333,910",
"",租用宣傳車輛支出,"471,415",
"",租用競選辦事處支出,"240,091",
"",集會支出,"1,460,319",
"",交通旅運支出,"14,467",
"",雜支支出,"816,699",
"",返還捐贈支出,"320,000",
"",繳庫支出,0,專戶存款結存金額:510.00
"",公共關係費用支出,"49,940",
"",支出合計,"8,344,261",超過三萬元之支出合計:5771024.00
"餘絀",收支結存金額,"-2,734,841",
"金錢以外之賸餘財產",0,,
