"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,499,000",
"",營利事業捐贈收入,"329,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"56,000",
"",其他收入,0,"超過三萬元之收入合計:1,270,000"
"",收入合計,"1,884,000","金錢收入總額:1,884,000非金錢收入總額:0"
"支出",人事費用支出,"330,050",
"",宣傳支出,"1,042,214",
"",租用宣傳車輛支出,"24,917",
"",租用競選辦事處支出,"173,546",
"",集會支出,"113,482",
"",交通旅運支出,"97,487",
"",雜支支出,"103,136",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"19,200",
"",支出合計,"1,904,032","超過三萬元之支出合計:410,100"
"餘絀",收支結存金額,"-20,032",
"金錢以外之賸餘財產",0,,
