"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"774,653",
"",營利事業捐贈收入,"573,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"94,000",
"",匿名捐贈收入,"34,000",
"",其他收入,0,"超過三萬元之收入合計:884,000"
"",收入合計,"1,475,653","金錢收入總額:1,475,653非金錢收入總額:0"
"支出",人事費用支出,"237,650",
"",宣傳支出,"902,230",
"",租用宣傳車輛支出,"59,400",
"",租用競選辦事處支出,"23,258",
"",集會支出,"22,000",
"",交通旅運支出,"37,903",
"",雜支支出,"201,598",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"1,484,039","超過三萬元之支出合計:811,245"
"餘絀",收支結存金額,"-8,386",
"金錢以外之賸餘財產",0,,
