"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"5,477,600",
"",營利事業捐贈收入,"2,710,888",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"64,000",
"",其他收入,0,"超過三萬元之收入合計:4,875,888"
"",收入合計,"8,252,488","金錢收入總額:8,252,488非金錢收入總額:0"
"支出",人事費用支出,"3,357,000",
"",宣傳支出,"2,623,609",
"",租用宣傳車輛支出,"19,983",
"",租用競選辦事處支出,0,
"",集會支出,"2,252,565",
"",交通旅運支出,"32,488",
"",雜支支出,"604,752",
"",返還捐贈支出,0,
"",繳庫支出,"100,000","專戶存款結存金額:114,888"
"",公共關係費用支出,"95,120",
"",支出合計,"9,085,517","超過三萬元之支出合計:3,622,738"
"餘絀",收支結存金額,"-833,029",
"金錢以外之賸餘財產",0,,
