"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,702,000",
"",營利事業捐贈收入,"1,005,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"20,000",
"",匿名捐贈收入,"21,500",
"",其他收入,0,"超過三萬元之收入合計:2,072,000"
"",收入合計,"2,748,500","金錢收入總額:2,748,500非金錢收入總額:0"
"支出",人事費用支出,"300,000",
"",宣傳支出,"1,763,247",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"452,453",
"",交通旅運支出,"116,727",
"",雜支支出,"122,576",
"",返還捐贈支出,"330,000",
"",繳庫支出,0,"專戶存款結存金額:92,410"
"",公共關係費用支出,"100,000",
"",支出合計,"3,185,003","超過三萬元之支出合計:1,350,011"
"餘絀",收支結存金額,"-436,503",
"金錢以外之賸餘財產",0,,
