"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,175,750",
"",營利事業捐贈收入,"1,346,888",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"10,000",
"",匿名捐贈收入,"17,990",
"",其他收入,225,"超過三萬元之收入合計:2,510,000"
"",收入合計,"3,550,853","金錢收入總額:3,508,103非金錢收入總額:42,750"
"支出",人事費用支出,"11,800",
"",宣傳支出,"2,323,837",
"",租用宣傳車輛支出,"31,200",
"",租用競選辦事處支出,"9,000",
"",集會支出,"89,544",
"",交通旅運支出,"89,614",
"",雜支支出,"271,301",
"",返還捐贈支出,"270,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"705,507",
"",支出合計,"3,801,803","超過三萬元之支出合計:2,535,400"
"餘絀",收支結存金額,"-250,950",
"金錢以外之賸餘財產",0,,
