"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"641,000",
"",營利事業捐贈收入,"507,000",
"",政黨捐贈收入,"100,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:855000.00
"",收入合計,"1,248,000","金錢收入總額:1248000.00 非金錢收入總額:"
"支出",人事費用支出,"316,410",
"",宣傳支出,"198,283",
"",租用宣傳車輛支出,"101,498",
"",租用競選辦事處支出,"100,000",
"",集會支出,"473,413",
"",交通旅運支出,"44,335",
"",雜支支出,"182,031",
"",返還捐贈支出,0,
"",繳庫支出,"30,000",專戶存款結存金額:0.00
"",公共關係費用支出,"8,250",
"",支出合計,"1,454,220",超過三萬元之支出合計:446720.00
"餘絀",收支結存金額,"-206,220",
"金錢以外之賸餘財產",0,,
