"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"60,051,624",
"",營利事業捐贈收入,"36,652,300",
"",政黨捐贈收入,"185,999",
"",人民團體捐贈收入,"2,060,000",
"",匿名捐贈收入,"160,433",
"",其他收入,"8,381",超過三萬元之收入合計:91568399.00
"",收入合計,"99,118,737","金錢收入總額:98859837.00 非金錢收入總額:258900.00"
"支出",人事費用支出,"5,002,230",
"",宣傳支出,"57,025,384",
"",租用宣傳車輛支出,"1,005,539",
"",租用競選辦事處支出,"20,470,522",
"",集會支出,"13,049,552",
"",交通旅運支出,"733,415",
"",雜支支出,"4,679,203",
"",返還捐贈支出,"3,302,000",
"",繳庫支出,0,專戶存款結存金額:8589.00
"",公共關係費用支出,"257,716",
"",支出合計,"105,525,561",超過三萬元之支出合計:97012534.00
"餘絀",收支結存金額,"-6,406,824",
"金錢以外之賸餘財產",0,,
