"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"452,000",
"",營利事業捐贈收入,"10,000",
"",政黨捐贈收入,"220,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"5,000",
"",其他收入,21,"超過三萬元之收入合計:450,000"
"",收入合計,"687,021","金錢收入總額:672,000非金錢收入總額:15,000"
"支出",人事費用支出,"892,500",
"",宣傳支出,"311,062",
"",租用宣傳車輛支出,"9,600",
"",租用競選辦事處支出,"290,040",
"",集會支出,"255,137",
"",交通旅運支出,"89,205",
"",雜支支出,"328,067",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:1,021"
"",公共關係費用支出,0,
"",支出合計,"2,175,611","超過三萬元之支出合計:477,500"
"餘絀",收支結存金額,"-1,488,590",
"金錢以外之賸餘財產","15,000",,
