"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"7,362,200",
"",營利事業捐贈收入,"2,365,885",
"",政黨捐贈收入,"500,000",
"",人民團體捐贈收入,"79,800",
"",匿名捐贈收入,"14,000",
"",其他收入,409,"超過三萬元之收入合計:7,472,000"
"",收入合計,"10,322,294","金錢收入總額:9,629,409非金錢收入總額:692,885"
"支出",人事費用支出,"1,752,955",
"",宣傳支出,"5,474,232",
"",租用宣傳車輛支出,"513,123",
"",租用競選辦事處支出,"557,178",
"",集會支出,"849,417",
"",交通旅運支出,"69,769",
"",雜支支出,"1,221,071",
"",返還捐贈支出,0,
"",繳庫支出,"60,000",專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"10,497,745","超過三萬元之支出合計:7,354,777"
"餘絀",收支結存金額,"-175,451",
"金錢以外之賸餘財產",0,,
