"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"7,072,600",
"",營利事業捐贈收入,"3,820,000",
"",政黨捐贈收入,"20,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:10630000.00
"",收入合計,"10,912,600","金錢收入總額:10912600.00 非金錢收入總額:"
"支出",人事費用支出,"1,339,768",
"",宣傳支出,"5,501,373",
"",租用宣傳車輛支出,"627,432",
"",租用競選辦事處支出,"93,218",
"",集會支出,"2,498,670",
"",交通旅運支出,"141,495",
"",雜支支出,"1,145,472",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"83,000",
"",支出合計,"11,430,428",超過三萬元之支出合計:6520679.00
"餘絀",收支結存金額,"-517,828",
"金錢以外之賸餘財產",0,,
