"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,958,500",
"",營利事業捐贈收入,"3,398,000",
"",政黨捐贈收入,"20,000",
"",人民團體捐贈收入,"86,800",
"",匿名捐贈收入,"65,000",
"",其他收入,912,超過三萬元之收入合計:8172000.00
"",收入合計,"10,529,212","金錢收入總額:10229212.00 非金錢收入總額:300000.00"
"支出",人事費用支出,"2,722,100",
"",宣傳支出,"4,523,015",
"",租用宣傳車輛支出,"143,812",
"",租用競選辦事處支出,"468,022",
"",集會支出,0,
"",交通旅運支出,"66,136",
"",雜支支出,"1,083,580",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:1380647.00
"",公共關係費用支出,"31,900",
"",支出合計,"9,038,565",超過三萬元之支出合計:7006294.00
"餘絀",收支結存金額,"1,490,647",
"金錢以外之賸餘財產",0,,
