"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,276,000",
"",營利事業捐贈收入,"857,800",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"3,200",
"",其他收入,0,"超過三萬元之收入合計:3,168,000"
"",收入合計,"4,137,000","金錢收入總額:4,047,000非金錢收入總額:90,000"
"支出",人事費用支出,"1,360,860",
"",宣傳支出,"1,802,340",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"145,911",
"",交通旅運支出,"111,196",
"",雜支支出,"836,502",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"164,250",
"",支出合計,"4,421,059","超過三萬元之支出合計:1,893,359"
"餘絀",收支結存金額,"-284,059",
"金錢以外之賸餘財產",0,,
