"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,087,162",
"",營利事業捐贈收入,"625,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"16,800",
"",匿名捐贈收入,"58,130",
"",其他收入,224,"超過三萬元之收入合計:2,134,517"
"",收入合計,"2,787,316","金錢收入總額:2,535,024非金錢收入總額:252,292"
"支出",人事費用支出,"96,000",
"",宣傳支出,"3,228,033",
"",租用宣傳車輛支出,"940,008",
"",租用競選辦事處支出,0,
"",集會支出,"3,500",
"",交通旅運支出,"48,135",
"",雜支支出,"434,944",
"",返還捐贈支出,"105,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"4,855,620","超過三萬元之支出合計:4,020,958"
"餘絀",收支結存金額,"-2,068,304",
"金錢以外之賸餘財產",0,,
