"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"5,308,000",
"",營利事業捐贈收入,"2,968,150",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"38,700",
"",其他收入,0,"超過三萬元之收入合計:7,001,750"
"",收入合計,"8,314,850","金錢收入總額:8,116,700非金錢收入總額:198,150"
"支出",人事費用支出,"1,543,490",
"",宣傳支出,"4,689,582",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"472,267",
"",集會支出,"899,782",
"",交通旅運支出,"168,260",
"",雜支支出,"640,594",
"",返還捐贈支出,"200,000",
"",繳庫支出,"20,000",專戶存款結存金額:91
"",公共關係費用支出,"100,380",
"",支出合計,"8,734,355","超過三萬元之支出合計:4,653,015"
"餘絀",收支結存金額,"-419,505",
"金錢以外之賸餘財產","61,560",,
