"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,370,750",
"",營利事業捐贈收入,"1,195,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"5,000",
"",匿名捐贈收入,"52,000",
"",其他收入,87,"超過三萬元之收入合計:3,478,000"
"",收入合計,"5,622,837","金錢收入總額:5,590,287非金錢收入總額:32,550"
"支出",人事費用支出,"720,000",
"",宣傳支出,"2,111,250",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"6,800",
"",集會支出,"16,840",
"",交通旅運支出,"60,909",
"",雜支支出,"2,948,126",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:3,286"
"",公共關係費用支出,900,
"",支出合計,"5,864,825","超過三萬元之支出合計:1,514,303"
"餘絀",收支結存金額,"-241,988",
"金錢以外之賸餘財產",0,,
