"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,746,744",
"",營利事業捐贈收入,"1,851,400",
"",政黨捐贈收入,"20,000",
"",人民團體捐贈收入,"260,000",
"",匿名捐贈收入,"31,200",
"",其他收入,"1,440","超過三萬元之收入合計:3,666,000"
"",收入合計,"5,910,784","金錢收入總額:5,856,840非金錢收入總額:53,944"
"支出",人事費用支出,"1,206,433",
"",宣傳支出,"3,470,727",
"",租用宣傳車輛支出,"166,380",
"",租用競選辦事處支出,"310,747",
"",集會支出,"278,089",
"",交通旅運支出,"4,761",
"",雜支支出,"779,642",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"6,216,779","超過三萬元之支出合計:3,146,672"
"餘絀",收支結存金額,"-305,995",
"金錢以外之賸餘財產","259,943",,
