"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,455,280",
"",營利事業捐贈收入,"650,000",
"",政黨捐贈收入,"20,000",
"",人民團體捐贈收入,"66,800",
"",匿名捐贈收入,0,
"",其他收入,190,超過三萬元之收入合計:3690000.00
"",收入合計,"4,192,270","金錢收入總額:4189390.00 非金錢收入總額:2880.00"
"支出",人事費用支出,"1,568,200",
"",宣傳支出,"3,873,014",
"",租用宣傳車輛支出,"3,000",
"",租用競選辦事處支出,"187,024",
"",集會支出,"7,422",
"",交通旅運支出,"150,878",
"",雜支支出,"741,663",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"646,170",
"",支出合計,"7,177,371",超過三萬元之支出合計:4771290.00
"餘絀",收支結存金額,"-2,985,101",
"金錢以外之賸餘財產",0,,
