"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"687,000",
"",營利事業捐贈收入,"910,300",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"16,800",
"",匿名捐贈收入,"12,000",
"",其他收入,27,"超過三萬元之收入合計:1,094,300"
"",收入合計,"1,626,127","金錢收入總額:1,541,827非金錢收入總額:84,300"
"支出",人事費用支出,"745,100",
"",宣傳支出,"757,821",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"35,000",
"",集會支出,"18,700",
"",交通旅運支出,"45,826",
"",雜支支出,"233,522",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"78,782",
"",支出合計,"1,914,751","超過三萬元之支出合計:648,904"
"餘絀",收支結存金額,"-288,624",
"金錢以外之賸餘財產",0,,
