"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,057,500",
"",營利事業捐贈收入,"833,600",
"",政黨捐贈收入,"73,000",
"",人民團體捐贈收入,"50,000",
"",匿名捐贈收入,"12,000",
"",其他收入,62,超過三萬元之收入合計:1418000.00
"",收入合計,"3,026,162","金錢收入總額:3026162.00 非金錢收入總額:"
"支出",人事費用支出,"1,408,047",
"",宣傳支出,"587,974",
"",租用宣傳車輛支出,"25,500",
"",租用競選辦事處支出,"192,000",
"",集會支出,"550,730",
"",交通旅運支出,"117,022",
"",雜支支出,"508,418",
"",返還捐贈支出,"150,000",
"",繳庫支出,"5,000",專戶存款結存金額:162.00
"",公共關係費用支出,0,
"",支出合計,"3,544,691",超過三萬元之支出合計:1150333.00
"餘絀",收支結存金額,"-518,529",
"金錢以外之賸餘財產",0,,
