"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,790,400",
"",營利事業捐贈收入,"116,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:716000.00
"",收入合計,"1,906,400","金錢收入總額:1906400.00 非金錢收入總額:"
"支出",人事費用支出,"186,000",
"",宣傳支出,"1,835,951",
"",租用宣傳車輛支出,"285,103",
"",租用競選辦事處支出,"126,556",
"",集會支出,"450,489",
"",交通旅運支出,"41,290",
"",雜支支出,"559,999",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"306,850",
"",支出合計,"3,792,238",超過三萬元之支出合計:1774996.00
"餘絀",收支結存金額,"-1,885,838",
"金錢以外之賸餘財產",0,,
