"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,133,000",
"",營利事業捐贈收入,"1,716,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:3423000.00
"",收入合計,"3,849,000","金錢收入總額:3849000.00 非金錢收入總額:"
"支出",人事費用支出,"872,600",
"",宣傳支出,"1,841,016",
"",租用宣傳車輛支出,"182,299",
"",租用競選辦事處支出,"577,775",
"",集會支出,"136,879",
"",交通旅運支出,"19,600",
"",雜支支出,"93,445",
"",返還捐贈支出,"50,000",
"",繳庫支出,0,專戶存款結存金額:2009.00
"",公共關係費用支出,"4,000",
"",支出合計,"3,777,614",超過三萬元之支出合計:2241691.00
"餘絀",收支結存金額,"71,386",
"金錢以外之賸餘財產",0,,
