"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,243,140",
"",營利事業捐贈收入,"2,400,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"16,800",
"",匿名捐贈收入,"10,000",
"",其他收入,0,超過三萬元之收入合計:5066000.00
"",收入合計,"5,669,940","金錢收入總額:5470800.00 非金錢收入總額:199140.00"
"支出",人事費用支出,"1,127,000",
"",宣傳支出,"2,441,779",
"",租用宣傳車輛支出,"704,879",
"",租用競選辦事處支出,"363,022",
"",集會支出,"84,638",
"",交通旅運支出,"12,538",
"",雜支支出,"502,112",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0.00
"",公共關係費用支出,"438,500",
"",支出合計,"5,674,468",超過三萬元之支出合計:3087421.00
"餘絀",收支結存金額,"-4,528",
"金錢以外之賸餘財產",0,,
