"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,159,400",
"",營利事業捐贈收入,"1,580,000",
"",政黨捐贈收入,"20,000",
"",人民團體捐贈收入,"260,000",
"",匿名捐贈收入,0,
"",其他收入,0,超過三萬元之收入合計:4158000.00
"",收入合計,"6,019,400","金錢收入總額:5403400.00 非金錢收入總額:616000.00"
"支出",人事費用支出,"2,172,913",
"",宣傳支出,"5,010,689",
"",租用宣傳車輛支出,"355,000",
"",租用競選辦事處支出,"177,000",
"",集會支出,"468,025",
"",交通旅運支出,"100,194",
"",雜支支出,"547,979",
"",返還捐贈支出,"360,000",
"",繳庫支出,"100,000",專戶存款結存金額:0.00
"",公共關係費用支出,0,
"",支出合計,"9,291,800",超過三萬元之支出合計:5493352.00
"餘絀",收支結存金額,"-3,272,400",
"金錢以外之賸餘財產",0,,
