"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"7,553,680",
"",營利事業捐贈收入,"1,052,600",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"148,105",
"",其他收入,869,超過三萬元之收入合計:3309386.00
"",收入合計,"8,755,254","金錢收入總額:8678562.00 非金錢收入總額:76692.00"
"支出",人事費用支出,"1,050,500",
"",宣傳支出,"2,740,755",
"",租用宣傳車輛支出,"100,939",
"",租用競選辦事處支出,"301,090",
"",集會支出,"516,704",
"",交通旅運支出,"103,824",
"",雜支支出,"1,307,745",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:1993381.00
"",公共關係費用支出,"549,530",
"",支出合計,"6,671,087",超過三萬元之支出合計:3036829.00
"餘絀",收支結存金額,"2,084,167",
"金錢以外之賸餘財產",0,,
