"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,049,056",
"",營利事業捐贈收入,"997,950",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"6,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,470,000"
"",收入合計,"2,053,006","金錢收入總額:1,716,066非金錢收入總額:336,940"
"支出",人事費用支出,0,
"",宣傳支出,"1,339,533",
"",租用宣傳車輛支出,"164,066",
"",租用競選辦事處支出,"30,414",
"",集會支出,"569,763",
"",交通旅運支出,0,
"",雜支支出,"259,703",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"10,900",
"",支出合計,"2,374,379","超過三萬元之支出合計:751,580"
"餘絀",收支結存金額,"-321,373",
"金錢以外之賸餘財產",0,,
