"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,561,200",
"",營利事業捐贈收入,"2,315,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"127,800",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:5,774,000"
"",收入合計,"7,004,000","金錢收入總額:6,972,000非金錢收入總額:32,000"
"支出",人事費用支出,"1,898,110",
"",宣傳支出,"5,608,978",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,0,
"",集會支出,"101,170",
"",交通旅運支出,"58,193",
"",雜支支出,"1,757,664",
"",返還捐贈支出,"150,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"9,574,115","超過三萬元之支出合計:6,427,680"
"餘絀",收支結存金額,"-2,570,115",
"金錢以外之賸餘財產",0,,
