"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,633,240",
"",營利事業捐贈收入,"420,000",
"",政黨捐贈收入,"500,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,111,"超過三萬元之收入合計:19,680,000"
"",收入合計,"2,553,351","金錢收入總額:2,553,351非金錢收入總額:0"
"支出",人事費用支出,"2,000",
"",宣傳支出,"831,163",
"",租用宣傳車輛支出,"150,000",
"",租用競選辦事處支出,"906,685",
"",集會支出,"462,500",
"",交通旅運支出,"61,630",
"",雜支支出,"140,632",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:851,806"
"",公共關係費用支出,0,
"",支出合計,"2,554,610","超過三萬元之支出合計:2,065,223"
"餘絀",收支結存金額,"-1,259",
"金錢以外之賸餘財產",0,,
