"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"220,000",
"",營利事業捐贈收入,"750,000",
"",政黨捐贈收入,"30,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:920,000"
"",收入合計,"1,000,000","金錢收入總額:1,000,000非金錢收入總額:0"
"支出",人事費用支出,"252,737",
"",宣傳支出,"492,360",
"",租用宣傳車輛支出,"60,000",
"",租用競選辦事處支出,0,
"",集會支出,"195,840",
"",交通旅運支出,"24,470",
"",雜支支出,"156,369",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:79,880"
"",公共關係費用支出,"12,800",
"",支出合計,"1,194,576","超過三萬元之支出合計:382,510"
"餘絀",收支結存金額,"-194,576",
"金錢以外之賸餘財產",0,,
