"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,477,000",
"",營利事業捐贈收入,"467,600",
"",政黨捐贈收入,"100,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"10,000",
"",其他收入,0,"超過三萬元之收入合計:1,488,000"
"",收入合計,"2,054,600","金錢收入總額:1,854,600非金錢收入總額:200,000"
"支出",人事費用支出,0,
"",宣傳支出,"1,137,880",
"",租用宣傳車輛支出,"165,375",
"",租用競選辦事處支出,0,
"",集會支出,"1,094,750",
"",交通旅運支出,"5,273",
"",雜支支出,"74,409",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"2,477,687","超過三萬元之支出合計:1,787,219"
"餘絀",收支結存金額,"-423,087",
"金錢以外之賸餘財產","200,000",,
