"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,055,600",
"",營利事業捐贈收入,"1,375,666",
"",政黨捐贈收入,"8,000,000",
"",人民團體捐贈收入,"100,000",
"",匿名捐贈收入,"2,600",
"",其他收入,183,"超過三萬元之收入合計:10,920,000"
"",收入合計,"11,534,049","金錢收入總額:11,410,783非金錢收入總額:123,266"
"支出",人事費用支出,0,
"",宣傳支出,"4,374,525",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"138,500",
"",集會支出,"1,942,163",
"",交通旅運支出,"259,031",
"",雜支支出,"3,618,175",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:1,585,948"
"",公共關係費用支出,0,
"",支出合計,"10,332,394","超過三萬元之支出合計:5,627,750"
"餘絀",收支結存金額,"1,201,655",
"金錢以外之賸餘財產",0,,
