"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,791,888",
"",營利事業捐贈收入,"1,644,000",
"",政黨捐贈收入,"7,000,000",
"",人民團體捐贈收入,"100,000",
"",匿名捐贈收入,0,
"",其他收入,82,"超過三萬元之收入合計:10,214,888"
"",收入合計,"10,535,970","金錢收入總額:10,535,970非金錢收入總額:0"
"支出",人事費用支出,"551,800",
"",宣傳支出,"4,697,779",
"",租用宣傳車輛支出,"732,046",
"",租用競選辦事處支出,"536,217",
"",集會支出,"2,983,543",
"",交通旅運支出,"239,094",
"",雜支支出,"1,552,171",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:970
"",公共關係費用支出,0,
"",支出合計,"11,292,650","超過三萬元之支出合計:6,333,706"
"餘絀",收支結存金額,"-756,680",
"金錢以外之賸餘財產",0,,
