"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,202,000",
"",營利事業捐贈收入,"3,252,000",
"",政黨捐贈收入,"5,000,000",
"",人民團體捐贈收入,"90,000",
"",匿名捐贈收入,0,
"",其他收入,187,"超過兩萬元之收入合計:8,462,000"
"",收入合計,"9,544,187","金錢收入總額:9,362,187非金錢收入總額:182,000"
"支出",宣傳支出,"5,620,170",
"",租用宣傳車輛支出,"1,529,000",
"",租用競選辦事處支出,"842,890",
"",集會支出,"1,662,433",
"",交通旅運支出,"131,403",
"",雜支支出,"1,470,729",
"",繳庫支出,0,"專戶存款結存金額:567,187"
"",支出合計,"11,256,625","超過兩萬元之支出合計:10,112,046"
"餘絀",收支結存金額,"-1,712,438",
"金錢以外之賸餘財產","182,000",,
