"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,559,600",
"",營利事業捐贈收入,"12,764,000",
"",政黨捐贈收入,"5,100,000",
"",人民團體捐贈收入,"246,000",
"",匿名捐贈收入,"189,490",
"",其他收入,"3,669","超過兩萬元之收入合計:23,168,000"
"",收入合計,"24,862,759","金錢收入總額:22,322,669非金錢收入總額:2,540,090"
"支出",宣傳支出,"14,586,414",
"",租用宣傳車輛支出,"1,023,104",
"",租用競選辦事處支出,"241,639",
"",集會支出,"2,051,858",
"",交通旅運支出,"227,504",
"",雜支支出,"7,035,110",
"",繳庫支出,0,"專戶存款結存金額:2,455,085"
"",支出合計,"25,165,629","超過兩萬元之支出合計:20,588,698"
"餘絀",收支結存金額,"-302,870",
"金錢以外之賸餘財產",0,,
