"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,730,050",
"",營利事業捐贈收入,"4,755,800",
"",政黨捐贈收入,"300,000",
"",人民團體捐贈收入,"240,000",
"",匿名捐贈收入,"13,114",
"",其他收入,"1,026","超過兩萬元之收入合計:7,280,000"
"",收入合計,"9,039,990","金錢收入總額:9,027,240非金錢收入總額:12,750"
"支出",宣傳支出,"6,148,847",
"",租用宣傳車輛支出,"555,694",
"",租用競選辦事處支出,"300,456",
"",集會支出,"2,005,563",
"",交通旅運支出,"355,569",
"",雜支支出,"2,248,588",
"",繳庫支出,0,"專戶存款結存金額:1,219,280"
"",支出合計,"11,614,717","超過兩萬元之支出合計:7,985,217"
"餘絀",收支結存金額,"-2,574,727",
"金錢以外之賸餘財產",0,,
