"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"7,091,800",
"",營利事業捐贈收入,"4,056,000",
"",政黨捐贈收入,"5,300,000",
"",人民團體捐贈收入,"921,000",
"",匿名捐贈收入,"8,700",
"",其他收入,"1,124","超過兩萬元之收入合計:16,400,800"
"",收入合計,"17,378,624","金錢收入總額:16,539,824非金錢收入總額:838,800"
"支出",宣傳支出,"10,900,197",
"",租用宣傳車輛支出,"851,250",
"",租用競選辦事處支出,"1,796,320",
"",集會支出,"991,315",
"",交通旅運支出,"66,771",
"",雜支支出,"4,639,620",
"",繳庫支出,0,"專戶存款結存金額:3,716,995"
"",支出合計,"19,245,473","超過兩萬元之支出合計:17,342,890"
"餘絀",收支結存金額,"-1,866,849",
"金錢以外之賸餘財產",0,,
