"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,678,000",
"",營利事業捐贈收入,"4,771,000",
"",政黨捐贈收入,"5,000,000",
"",人民團體捐贈收入,"400,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:13,516,000"
"",收入合計,"13,849,000","金錢收入總額:13,849,000非金錢收入總額:0"
"支出",人事費用支出,0,
"",宣傳支出,"5,045,816",
"",租用宣傳車輛支出,"1,021,777",
"",租用競選辦事處支出,"134,305",
"",集會支出,"2,831,710",
"",交通旅運支出,"103,336",
"",雜支支出,"4,725,265",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:410
"",公共關係費用支出,0,
"",支出合計,"13,862,209","超過三萬元之支出合計:9,736,477"
"餘絀",收支結存金額,"-13,209",
"金錢以外之賸餘財產",0,,
