"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"623,164",
"",營利事業捐贈收入,"1,010,000",
"",政黨捐贈收入,"10,000,000",
"",人民團體捐贈收入,"20,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:11,390,000"
"",收入合計,"11,653,164","金錢收入總額:11,563,164非金錢收入總額:90,000"
"支出",人事費用支出,"681,500",
"",宣傳支出,"8,478,156",
"",租用宣傳車輛支出,"1,588,600",
"",租用競選辦事處支出,"204,000",
"",集會支出,"2,756,450",
"",交通旅運支出,"66,627",
"",雜支支出,"721,416",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"14,496,749","超過三萬元之支出合計:12,308,557"
"餘絀",收支結存金額,"-2,843,585",
"金錢以外之賸餘財產",0,,
