"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,341,500",
"",營利事業捐贈收入,"1,050,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"20,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:1,758,000"
"",收入合計,"2,411,500","金錢收入總額:2,148,000非金錢收入總額:263,500"
"支出",人事費用支出,"74,200",
"",宣傳支出,"12,637,518",
"",租用宣傳車輛支出,"1,176,975",
"",租用競選辦事處支出,"110,240",
"",集會支出,"200,410",
"",交通旅運支出,"67,025",
"",雜支支出,"506,080",
"",返還捐贈支出,0,
"",繳庫支出,0,"專戶存款結存金額:1,500"
"",公共關係費用支出,"27,500",
"",支出合計,"14,799,948","超過三萬元之支出合計:12,805,412"
"餘絀",收支結存金額,"-12,388,448",
"金錢以外之賸餘財產",0,,
