"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,569,180",
"",營利事業捐贈收入,"5,298,032",
"",政黨捐贈收入,"500,000",
"",人民團體捐贈收入,"602,000",
"",匿名捐贈收入,"19,000",
"",其他收入,"1,230","超過兩萬元之收入合計:9,906,032"
"",收入合計,"12,989,442","金錢收入總額:11,791,930非金錢收入總額:1,197,512"
"支出",宣傳支出,"5,133,673",
"",租用宣傳車輛支出,"236,180",
"",租用競選辦事處支出,"751,640",
"",集會支出,"860,101",
"",交通旅運支出,"56,621",
"",雜支支出,"1,817,959",
"",繳庫支出,"120,000","專戶存款結存金額:4,376,659"
"",支出合計,"8,976,174","超過兩萬元之支出合計:6,201,574"
"餘絀",收支結存金額,"4,013,268",
"金錢以外之賸餘財產","150,850",,
