"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,594,956",
"",營利事業捐贈收入,"1,554,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"570,000",
"",匿名捐贈收入,"234,500",
"",其他收入,321,"超過三萬元之收入合計:6,547,388"
"",收入合計,"8,953,777","金錢收入總額:8,814,277非金錢收入總額:139,500"
"支出",人事費用支出,"927,317",
"",宣傳支出,"5,596,184",
"",租用宣傳車輛支出,"821,700",
"",租用競選辦事處支出,"472,280",
"",集會支出,"840,722",
"",交通旅運支出,"81,528",
"",雜支支出,"482,199",
"",返還捐贈支出,"1,000,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"28,760",
"",支出合計,"10,250,690","超過三萬元之支出合計:6,777,958"
"餘絀",收支結存金額,"-1,296,913",
"金錢以外之賸餘財產","43,441",,
