"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,154,000",
"",營利事業捐贈收入,"1,615,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:2,505,000"
"",收入合計,"2,819,000","金錢收入總額:2,774,000非金錢收入總額:45,000"
"支出",人事費用支出,"77,550",
"",宣傳支出,"1,455,310",
"",租用宣傳車輛支出,"659,317",
"",租用競選辦事處支出,"100,000",
"",集會支出,"296,040",
"",交通旅運支出,"18,120",
"",雜支支出,"305,930",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"38,754",
"",支出合計,"2,951,021","超過三萬元之支出合計:1,996,150"
"餘絀",收支結存金額,"-132,021",
"金錢以外之賸餘財產","45,000",,
