"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,328,000",
"",營利事業捐贈收入,"35,000",
"",政黨捐贈收入,"50,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,"17,000",
"",其他收入,4,"超過三萬元之收入合計:2,279,000"
"",收入合計,"2,430,004","金錢收入總額:2,430,004非金錢收入總額:0"
"支出",人事費用支出,"2,160,000",
"",宣傳支出,"397,044",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"2,800",
"",集會支出,"166,571",
"",交通旅運支出,"64,051",
"",雜支支出,"349,247",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:4
"",公共關係費用支出,0,
"",支出合計,"3,139,713","超過三萬元之支出合計:2,442,600"
"餘絀",收支結存金額,"-709,709",
"金錢以外之賸餘財產",0,,
