"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"21,925,618",
"",營利事業捐贈收入,"25,520,000",
"",政黨捐贈收入,"5,000,000",
"",人民團體捐贈收入,"680,000",
"",匿名捐贈收入,"46,200",
"",其他收入,"5,629","超過三萬元之收入合計:50,005,500"
"",收入合計,"53,177,447","金錢收入總額:52,903,447  非金錢收入總額:274,000"
"支出",人事費用支出,"5,598,583",
"",宣傳支出,"27,478,397",
"",租用宣傳車輛支出,"406,060",
"",租用競選辦事處支出,"4,484,965",
"",集會支出,"236,995",
"",交通旅運支出,"505,004",
"",雜支支出,"2,978,683",
"",返還捐贈支出,"4,685,000",
"",繳庫支出,0,"專戶存款結存金額:1,543,245"
"",公共關係費用支出,"5,542,840",
"",支出合計,"51,916,527","超過三萬元之支出合計:43,406,458"
"餘絀",收支結存金額,"1,260,920",
"金錢以外之賸餘財產",0,,
