"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"1,557,000",
"",營利事業捐贈收入,"460,000",
"",政黨捐贈收入,"3,100,000",
"",人民團體捐贈收入,0,
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:5,000,000"
"",收入合計,"5,117,000","金錢收入總額:5,117,000  非金錢收入總額:"
"支出",人事費用支出,"1,674,000",
"",宣傳支出,"2,274,292",
"",租用宣傳車輛支出,"131,450",
"",租用競選辦事處支出,"568,639",
"",集會支出,"118,050",
"",交通旅運支出,"250,417",
"",雜支支出,"201,270",
"",返還捐贈支出,"100,000",
"",繳庫支出,0,專戶存款結存金額:40
"",公共關係費用支出,"42,400",
"",支出合計,"5,360,518","超過三萬元之支出合計:2,911,963"
"餘絀",收支結存金額,"-243,518",
"金錢以外之賸餘財產",0,,
