"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"2,391,600",
"",營利事業捐贈收入,"3,213,000",
"",政黨捐贈收入,"1,000,000",
"",人民團體捐贈收入,"250,000",
"",匿名捐贈收入,"2,000",
"",其他收入,931,"超過三萬元之收入合計:6,560,000"
"",收入合計,"6,857,531","金錢收入總額:6,857,531  非金錢收入總額:"
"支出",人事費用支出,"1,545,125",
"",宣傳支出,"8,002,144",
"",租用宣傳車輛支出,"496,000",
"",租用競選辦事處支出,"100,000",
"",集會支出,"1,230,692",
"",交通旅運支出,"5,599",
"",雜支支出,"4,125,990",
"",返還捐贈支出,"150,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"15,655,550","超過三萬元之支出合計:12,032,748"
"餘絀",收支結存金額,"-8,798,019",
"金錢以外之賸餘財產",0,,
