"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"3,824,700",
"",營利事業捐贈收入,"1,178,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"60,000",
"",匿名捐贈收入,"77,800",
"",其他收入,146,"超過三萬元之收入合計:4,058,000"
"",收入合計,"5,140,646","金錢收入總額:4,773,946非金錢收入總額:366,700"
"支出",人事費用支出,"564,900",
"",宣傳支出,"8,970,520",
"",租用宣傳車輛支出,0,
"",租用競選辦事處支出,"1,884,220",
"",集會支出,0,
"",交通旅運支出,0,
"",雜支支出,"3,393,623",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"14,813,263","超過三萬元之支出合計:13,560,442"
"餘絀",收支結存金額,"-9,672,617",
"金錢以外之賸餘財產","70,200",,
