"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,322,842",
"",營利事業捐贈收入,"20,850,000",
"",政黨捐贈收入,"3,000,000",
"",人民團體捐贈收入,"200,000",
"",匿名捐贈收入,"15,700",
"",其他收入,"2,002","超過三萬元之收入合計:30,133,651"
"",收入合計,"30,390,544","金錢收入總額:29,650,710  非金錢收入總額:739,834"
"支出",人事費用支出,"2,321,480",
"",宣傳支出,"13,659,514",
"",租用宣傳車輛支出,"2,166,671",
"",租用競選辦事處支出,"895,063",
"",集會支出,"4,087,438",
"",交通旅運支出,"193,696",
"",雜支支出,"4,152,337",
"",返還捐贈支出,"2,020,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"1,116,523",
"",支出合計,"30,612,722","超過三萬元之支出合計:24,446,056"
"餘絀",收支結存金額,"-222,178",
"金錢以外之賸餘財產",0,,
