"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"6,078,100",
"",營利事業捐贈收入,"8,944,000",
"",政黨捐贈收入,"4,000,000",
"",人民團體捐贈收入,"100,000",
"",匿名捐贈收入,"26,500",
"",其他收入,474,"超過三萬元之收入合計:18,645,000"
"",收入合計,"19,149,074","金錢收入總額:18,808,074  非金錢收入總額:341,000"
"支出",人事費用支出,"3,966,324",
"",宣傳支出,"10,335,373",
"",租用宣傳車輛支出,"259,398",
"",租用競選辦事處支出,"722,000",
"",集會支出,"1,753,787",
"",交通旅運支出,"565,599",
"",雜支支出,"1,823,772",
"",返還捐贈支出,"940,000",
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"560,030",
"",支出合計,"20,926,283","超過三萬元之支出合計:15,119,848"
"餘絀",收支結存金額,"-1,777,209",
"金錢以外之賸餘財產",0,,
