"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"4,570,000",
"",營利事業捐贈收入,"2,970,000",
"",政黨捐贈收入,0,
"",人民團體捐贈收入,"800,000",
"",匿名捐贈收入,0,
"",其他收入,0,"超過三萬元之收入合計:8,050,000"
"",收入合計,"8,340,000","金錢收入總額:8,340,000  非金錢收入總額:"
"支出",人事費用支出,"1,737,121",
"",宣傳支出,"6,286,214",
"",租用宣傳車輛支出,"204,394",
"",租用競選辦事處支出,0,
"",集會支出,"875,347",
"",交通旅運支出,"558,429",
"",雜支支出,"1,623,783",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,0,
"",支出合計,"11,285,288","超過三萬元之支出合計:5,998,670"
"餘絀",收支結存金額,"-2,945,288",
"金錢以外之賸餘財產",0,,
