"收支科目","金額(新台幣:元)",備註,
"收入",個人捐贈收入,"5,666,785",
"",營利事業捐贈收入,"2,262,000",
"",政黨捐贈收入,"5,500,000",
"",人民團體捐贈收入,"135,000",
"",匿名捐贈收入,"3,037",
"",其他收入,"1,137","超過三萬元之收入合計:12,935,000"
"",收入合計,"13,567,959","金錢收入總額:13,567,959  非金錢收入總額:"
"支出",人事費用支出,"2,203,748",
"",宣傳支出,"8,913,763",
"",租用宣傳車輛支出,"767,064",
"",租用競選辦事處支出,"529,790",
"",集會支出,"642,577",
"",交通旅運支出,"58,268",
"",雜支支出,"1,149,279",
"",返還捐贈支出,0,
"",繳庫支出,0,專戶存款結存金額:0
"",公共關係費用支出,"337,200",
"",支出合計,"14,601,689","超過三萬元之支出合計:10,178,992"
"餘絀",收支結存金額,"-1,033,730",
"金錢以外之賸餘財產",0,,
